,Position,Track.Name,Artist,Streams,URL,Date,Region
44,44,Scooby Doo Pa Pa,Dj Kass,7393,https://open.spotify.com/track/1xndOD8CreR5ctkOv5G1LN,1/9/2018,ec
45,45,Mi Gente,J Balvin,7384,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,1/9/2018,ec
46,46,Explícale,Yandel,7193,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,1/9/2018,ec
47,47,Ahora Dice,Chris Jeday,7124,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,1/9/2018,ec
48,48,Como Antes,Yandel,7047,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5,1/9/2018,ec
49,49,Amantes,Greeicy,6504,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD,1/9/2018,ec
50,50,Si Tú La Ves,Nicky Jam,6472,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE,1/9/2018,ec
51,51,Besándote,Piso 21,6006,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h,1/9/2018,ec
52,52,Hey DJ,CNCO,5877,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,1/9/2018,ec
53,53,Por Pura Curiosidad,Fonseca,5776,https://open.spotify.com/track/1kLTaKK1qbtGuxggUtz8iz,1/9/2018,ec
54,54,Por Hacerme el Bueno,Bacilos,5618,https://open.spotify.com/track/5kTBmo3zNcnlm6saZRFrHR,1/9/2018,ec
55,55,Tú Foto,Ozuna,5504,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,1/9/2018,ec
56,56,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,5298,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,1/9/2018,ec
57,57,Chambea,Bad Bunny,5263,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,1/9/2018,ec
58,58,Wolves,Selena Gomez,5198,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,1/9/2018,ec
59,59,rockstar,Post Malone,4921,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,1/9/2018,ec
60,60,What Lovers Do (feat. SZA),Maroon 5,4881,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,1/9/2018,ec
61,61,Síguelo Bailando,Ozuna,4861,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,1/9/2018,ec
62,62,Too Good At Goodbyes,Sam Smith,4706,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,1/9/2018,ec
63,63,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,4606,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,1/9/2018,ec
64,64,GPS,Maluma,4542,https://open.spotify.com/track/3t6j6WNv2OSn6qm5Vxynub,1/9/2018,ec
65,65,Loca (feat. Cali Y El Dandee),Maite Perroni,4514,https://open.spotify.com/track/05ZXXyeZFhZtA6DAP3Aw7x,1/9/2018,ec
66,66,Otra Vez (feat. J Balvin),Zion & Lennox,4370,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/9/2018,ec
67,67,Bajo el agua,Manuel Medrano,4367,https://open.spotify.com/track/5QSYWruQQ7kBCHScI4xJ9g,1/9/2018,ec
68,68,La Formula (feat. Chris Jeday),De La Ghetto,4257,https://open.spotify.com/track/4XCQtUoRSh22Ep18ULmDnT,1/9/2018,ec
69,69,Despacito (Featuring Daddy Yankee),Luis Fonsi,4144,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,1/9/2018,ec
70,70,Me Llamas (feat. Maluma) - Remix,Piso 21,4048,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,1/9/2018,ec
71,71,El Farsante,Ozuna,3957,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,1/9/2018,ec
72,72,Attention,Charlie Puth,3840,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,1/9/2018,ec
73,73,"Amor, Amor, Amor",Jennifer Lopez,3837,https://open.spotify.com/track/7h9sdbDEBfkWSmO4mzGED6,1/9/2018,ec
74,74,Movimiento Naranja Regional,Movimiento Ciudadano,3776,https://open.spotify.com/track/5u9HlSPeBN7W79Y91WPEYK,1/9/2018,ec
75,75,Gucci Gang,Lil Pump,3681,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,1/9/2018,ec
76,76,Bonita - Remix,J Balvin,3625,https://open.spotify.com/track/400nZFg9JEXd9DTBJf1PE3,1/9/2018,ec
77,77,Dusk Till Dawn - Radio Edit,ZAYN,3576,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,1/9/2018,ec
78,78,Imitadora,Romeo Santos,3573,https://open.spotify.com/track/6r46lnXFbE9fr2d3KNaGbe,1/9/2018,ec
79,79,Traicionera,Sebastian Yatra,3516,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,1/9/2018,ec
80,80,No vaya a ser,Pablo Alborán,3434,https://open.spotify.com/track/6ZZOdrcqRZzTCwGlsy00SU,1/9/2018,ec
81,81,Sé Que Te Duele,Alejandro Fernandez,3430,https://open.spotify.com/track/5vZfgeDfNhlkKeJqjzSAmg,1/9/2018,ec
82,82,Thinking Out Loud,Ed Sheeran,3408,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,1/9/2018,ec
83,83,Todo Comienza en la Disco,Wisin,3355,https://open.spotify.com/track/3a2aBKuvgP1qHo3BqU3lGh,1/9/2018,ec
84,84,Una y otra vez,Manuel Medrano,3309,https://open.spotify.com/track/0bK3jxkbq5cDKWr68KtO8G,1/9/2018,ec
85,85,Ahora Me Llama,Karol G,3202,https://open.spotify.com/track/11ZRYISCsAsLyyJo47DudZ,1/9/2018,ec
